Academic Yr,Semester Year Letter Cd Concat,Semester Nm,Degree Level Desc,Ucb Level1 Ethnic Rollup Desc,Ucb Level2 Ethnic Rollup Desc,Short Ethnic Desc,Gender Desc,Student Headcount,Prorated Degrees Awarded Cnt,College/School,Division,Department,Major
2014-15,2014 C,Summer,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,1,1,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 C,Summer,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,1,1,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch
2014-15,2014 C,Summer,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,1,1,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng
2014-15,2014 C,Summer,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,3,3,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
2014-15,2014 C,Summer,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,1,1,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 C,Summer,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,1,1,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 C,Summer,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,1,1,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,EECS/MSE Joint Major
2014-15,2014 C,Summer,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,1,1,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2014 C,Summer,Bachelor,Asian/Pacific Islander,Asian,Filipino,Female,1,1,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch
2014-15,2014 C,Summer,Bachelor,Asian/Pacific Islander,Asian,Other Asian,Female,1,1,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng
2014-15,2014 C,Summer,Bachelor,Asian/Pacific Islander,Asian,South Asian,Male,1,1,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
