Academic Yr,Semester Year Letter Cd Concat,Semester Nm,Degree Level Desc,Major Short Nm,Ucb Level2 Ethnic Rollup Desc,Short Ethnic Desc,Gender Desc,Student Headcount,Prorated Degrees Awarded Cnt,College/School,Division,Department,Major
2014-15,2014 C,Summer,Bachelor,L&S Computer Science,African American,African American/Black,Male,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2014 C,Summer,Bachelor,L&S Computer Science,Asian,Chinese,Female,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2014 C,Summer,Bachelor,L&S Computer Science,Asian,Chinese,Male,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2014 C,Summer,Bachelor,L&S Computer Science,Asian,Korean,Male,4,4,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2014 C,Summer,Bachelor,L&S Computer Science,Asian,South Asian,Male,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2014 C,Summer,Bachelor,L&S Computer Science,International,International,Female,3,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2014 C,Summer,Bachelor,L&S Computer Science,International,International,Male,2,0.833333333333333,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2014 C,Summer,Bachelor,L&S Computer Science,White,White,Male,2,0.833333333333333,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2014 D,Fall,Bachelor,L&S Computer Science,Asian,Chinese,Female,5,4,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2014 D,Fall,Bachelor,L&S Computer Science,Asian,Chinese,Male,17,15.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2014 D,Fall,Bachelor,L&S Computer Science,Asian,Filipino,Female,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2014 D,Fall,Bachelor,L&S Computer Science,Asian,Filipino,Male,3,3,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2014 D,Fall,Bachelor,L&S Computer Science,Asian,Japanese,Male,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2014 D,Fall,Bachelor,L&S Computer Science,Asian,Korean,Female,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2014 D,Fall,Bachelor,L&S Computer Science,Asian,Korean,Male,4,3.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2014 D,Fall,Bachelor,L&S Computer Science,Asian,South Asian,Male,4,4,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2014 D,Fall,Bachelor,L&S Computer Science,Asian,Vietnamese,Male,3,2.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
